# Fetched from https://as52210.net/communities.txt
52210:666,Blackhole
52210:1:666,Blackhole (Large)
52210:5000,IRR Valid
52210:5001,IRR Missing/Not Found
52210:5002,IRR Invalid
52210:5010,RPKI Valid
52210:5011,RPKI Missing/Not Found
52210:5012,RPKI Invalid
52210:5013,ASPA Invalid
52210:1000,From internet exchange
52210:1000:0,From internet exchange
52210:1002,From internet exchange peer
52210:1002:0,From internet exchange peer
52210:1003,From internet exchange route server
52210:1003:0,From internet exchange route server
52210:1004,From upstream provider
52210:1004:0,From upstream provider
52210:1005,From upstream provider (transit)
52210:1005:0,From upstream provider (transit)
52210:1007,From downstream
52210:1007:0,From downstream
52210:50:174,Learned from Cogent (Transit)
52210:50:835,Learned from GoCodeIT (Transit)
52210:50:6939,Learned from Hurricane Electric (Transit)
52210:50:52025,Learned from ParadoxNetworks (Transit)
52210:50:210667,Learned from SmishCraft (Transit)
52210:50:32097,Learned from Wholesale Internet (Transit)
52210:60:4059,Learned from ONIX (Peer)
52210:60:249,Learned from KCIX (Peer)
52210:60:2835,Learned from HOUIX (Peer)
52210:60:2585,Learned from STLIX (Peer)
52210:60:13,Learned from SeattleIX (Peer)
52210:60:1285,Learned from SeattleIX Jumbo (Peer)
52210:60:446,Learned from MICE (Peer)
52210:60:26,Learned from AMS-IX (Peer)
52210:60:3512,Learned from Frys-IX (Peer)
52210:60:4837,Learned from FogIXP (Peer)
52210:60:3990,Learned from InterIX (Peer)
52210:60:4378,Learned from F4IX (Peer)
52210:2:1,Infrastructure Prefix
52210:2:2,Infrastructure Prefix (MCI)
52210:2:9,Infrastructure Prefix (Anycast)
52210:3:1,Learned from Downstream Customer
52210:3:2,Learned from Downstream Customer (MCI)
52210:101:0,Prepend 1x to all
52210:102:0,Prepend 2x to all
52210:103:0,Prepend 3x to all
52210:104:0,Do not announce to all
52210:101:174,Prepend 1x to Cogent (Transit)
52210:102:174,Prepend 2x to Cogent (Transit)
52210:103:174,Prepend 3x to Cogent (Transit)
52210:104:174,No-Export to Cogent (Transit)
52210:101:835,Prepend 1x to GoCodeIT (Transit)
